"","Date","DirRigCount","HorzRigCount","VertRigCount","TotalRigCount","PerDirRig","PercHorzRig","PercVertRig"
"999","2010-02-19",228,658,459,1345,0.169516728624535,0.489219330855019,0.341263940520446
"1000","2010-02-26",235,679,459,1373,0.17115804806992,0.494537509104152,0.334304442825929
"1001","2010-03-05",230,695,471,1396,0.164756446991404,0.49785100286533,0.337392550143267
"1002","2010-03-12",216,702,489,1407,0.153518123667377,0.498933901918977,0.347547974413646
"1003","2010-03-19",225,711,491,1427,0.157673440784863,0.498248072880168,0.344078486334968
"1004","2010-03-26",227,725,492,1444,0.157202216066482,0.50207756232687,0.340720221606648
"1005","2010-04-01",222,735,508,1465,0.151535836177474,0.501706484641638,0.346757679180887
"1006","2010-04-09",225,749,502,1476,0.152439024390244,0.507452574525745,0.340108401084011
"1007","2010-04-16",232,754,505,1491,0.155600268276325,0.505700871898055,0.33869885982562
"1008","2010-04-23",232,753,497,1482,0.156545209176788,0.508097165991903,0.335357624831309
"1009","2010-04-30",229,765,489,1483,0.154416722859069,0.515846257585974,0.329737019554956
"1010","2010-05-07",230,764,498,1492,0.154155495978552,0.512064343163539,0.333780160857909
"1011","2010-05-14",228,776,502,1506,0.151394422310757,0.51527224435591,0.333333333333333
"1012","2010-05-21",232,782,504,1518,0.152832674571805,0.515151515151515,0.33201581027668
"1013","2010-05-28",226,795,514,1535,0.147231270358306,0.517915309446254,0.33485342019544
"1014","2010-06-04",226,798,482,1506,0.150066401062417,0.529880478087649,0.320053120849934
"1015","2010-06-11",230,819,478,1527,0.150622134905043,0.536345776031434,0.313032089063523
"1016","2010-06-18",233,827,479,1539,0.151397011046134,0.537361923326836,0.311241065627031
"1017","2010-06-25",236,833,483,1552,0.152061855670103,0.536726804123711,0.311211340206186
"1018","2010-07-02",230,849,478,1557,0.14771997430957,0.545279383429672,0.307000642260758
"1019","2010-07-09",226,863,478,1567,0.144224633056796,0.550733886407147,0.305041480536056
"1020","2010-07-16",214,859,498,1571,0.136218968809675,0.546785486950987,0.316995544239338
"1021","2010-07-23",218,858,509,1585,0.137539432176656,0.541324921135647,0.321135646687697
"1022","2010-07-30",220,853,513,1586,0.138713745271122,0.537831021437579,0.323455233291299
"1023","2010-08-06",221,878,506,1605,0.137694704049844,0.547040498442368,0.315264797507788
"1024","2010-08-13",222,885,533,1640,0.135365853658537,0.539634146341463,0.325
"1025","2010-08-20",217,895,539,1651,0.131435493640218,0.542095699576015,0.326468806783767
"1026","2010-08-27",225,904,527,1656,0.135869565217391,0.545893719806763,0.318236714975845
"1027","2010-09-03",222,903,528,1653,0.134301270417423,0.546279491833031,0.319419237749546
"1028","2010-09-10",231,911,512,1654,0.139661426844015,0.550785973397823,0.309552599758162
"1029","2010-09-17",222,912,527,1661,0.133654425045154,0.549066827212523,0.317278747742324
"1030","2010-09-24",213,912,525,1650,0.129090909090909,0.552727272727273,0.318181818181818
"1031","2010-10-01",220,916,523,1659,0.132610006027728,0.552139843279084,0.315250150693189
"1032","2010-10-08",213,929,529,1671,0.127468581687612,0.555954518252543,0.316576900059844
"1033","2010-10-15",206,926,538,1670,0.123353293413174,0.554491017964072,0.322155688622755
"1034","2010-10-22",223,907,539,1669,0.133612941881366,0.543439185140803,0.322947872977831
"1035","2010-10-29",220,919,533,1672,0.131578947368421,0.549641148325359,0.31877990430622
